ABOX;TBOX;POS;POS_size;POS_density;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.7;;;75671;0.309000015258789;1;3.10500001907349;10114;0.296000003814697;3.7110002040863;37088;2.75200009346008;13718;23832;0.085000038146973;125.578999996185;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.9;;;75671;0.275000095367432;19;3.09899997711182;35291;0.522000074386597;3.8970000743866;37088;2.91499996185303;30279;65570;0.059999942779541;63.2230000495911;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.3;;;75671;0.171000003814697;1;2.40700006484985;7400;0.786999940872192;3.36500000953674;37088;2.20700001716614;10950;18350;0.407999992370606;102.162000179291;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.5;;;75671;0.190999984741211;7;2.36199998855591;10157;0.716000080108643;3.26900005340576;37088;2.13599991798401;13679;23836;0.427999973297119;91.7439999580383;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.7;;;75671;0.217000007629395;1;2.36299991607666;4796;0.743000030517578;3.32299995422363;37088;2.09099984169006;7888;12684;0.388999938964844;111.242000102997;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos1000_prob_0.9;;;75671;0.196000099182129;3;3.29499983787537;36083;0.867000102996826;4.35800004005432;37088;2.10400009155273;30784;66867;0.20799994468689;53.4509999752045;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.3;;;75671;0.205000162124634;1;3.30299997329712;3006;0.421000003814697;3.92900013923645;37088;3.13500022888184;5398;8404;0.123999834060669;156.196999788284;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.5;;;75671;0.176999807357788;79;3.23600006103516;2414;0.526000022888184;3.93899989128113;37088;3.22300004959106;4452;6866;0.560999870300293;165.81200003624;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.7;;;75671;0.308000087738037;1;2.94199991226196;2451;0.354000091552734;3.60400009155273;37088;3.06299996376038;4590;7041;0.085000038146973;158.656999826431;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.9;;;75671;0.340999841690063;1;3.48900008201599;15035;0.45799994468689;4.28799986839294;37088;2.59599995613098;17891;32926;0.079999923706055;91.2350001335144;0
University0_p_0.000005.db;lubm-ex-20_disjoint.owl;pos2500_prob_0.3;;;75671;0.263000011444092;2;2.3600001335144;5868;3.29900002479553;5.92200016975403;37088;2.20700001716614;9186;15054;2.51999998092651;113.013000011444;0
