ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2;9228;0.0320000648498535;5;1.27799987792969;47;0.18500018119812;1.49500012397766;25527;1.36300015449524;25742;27.6760001182556;163;0.458999872207642;30.7260000705719;16301;1.37299990653992;116;1.3529999256134;26.1960000991821;163;0.132999897003174;30.6370000839233;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3;9228;0.0550000667572022;5;1.23000001907349;61;0.159999847412109;1.4449999332428;25527;1.37400007247925;25632;27.9609999656677;223;0.427999973297119;31.1119999885559;16301;1.52700018882751;162;1.39499998092651;26.0249998569489;223;0.108999967575073;30.4949998855591;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4;9228;0.0210001468658447;1;1.32599997520447;228;0.171000003814697;1.51800012588501;25527;1.42799997329712;25603;27.2449998855591;762;0.24399995803833;30.2949998378754;16301;1.37100005149841;534;1.60700011253357;25.066999912262;762;0.110000133514404;29.6660001277924;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5;9228;0.0439999103546143;2;1.28699994087219;0;0.148000001907349;1.47899985313416;25527;1.38199996948242;25577;26.8359999656677;0;0.299000024795532;29.8389999866486;16301;1.48699998855591;0;1.32200002670288;26.3880000114441;0;0.111999988555908;30.8320000171661;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.6;9228;0.0440001487731934;1;1.30899977684021;456;0.154000043869019;1.50699996948242;25527;1.43899989128113;25569;28.6989998817444;1538;0.26800012588501;31.7599999904633;16301;1.39499998092651;1082;1.49300003051758;25.702999830246;1538;0.207000017166138;30.2879998683929;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7;9228;0.0299999713897705;6;1.52699995040894;411;0.198000192642212;1.75500011444092;25527;1.67499995231628;25562;26.6189999580383;1432;0.513999938964844;30.1280000209808;16301;1.50500011444092;1021;1.47300004959106;24.2430000305176;1432;0.121999979019165;28.8280000686645;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.8;9228;0.0519998073577881;4;1.23900008201599;276;0.150000095367432;1.44099998474121;25527;1.44400000572205;25549;28.1180000305176;977;0.368000030517578;31.2300000190735;16301;1.40500020980835;701;1.4909999370575;24.3599998950958;977;0.0830001831054688;29.0360000133514;0
university0.5_p_0.0005.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9;9228;0.0360000133514404;3;1.23600006103516;335;0.184000015258789;1.45600008964539;25527;1.44300007820129;25539;27.7269999980926;1144;0.338000059127808;30.8150000572205;16301;1.5789999961853;809;1.51400017738342;24.3120000362396;1144;0.0809998512268066;29.385999917984;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.1;9375;0.0319998264312744;279;1.67700004577637;0;0.0580000877380371;1.76699995994568;25876;1.52099990844727;29612;29.3039999008179;0;2.21500015258789;34.9639999866486;16505;1.53799986839294;0;1.33100008964539;28.8529999256134;0;0.555999994277954;34.1100001335144;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos50_prob_0.2;9375;0.0429999828338623;118;1.51399993896484;0;0.0740001201629639;1.63100004196167;25876;1.625;27822;27.9790000915527;0;1.16299986839294;32.2009999752045;16505;1.46000003814697;0;1.3289999961853;28.5789999961853;0;0.177000045776367;33.0650000572205;0
